데이터직무별(1),2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
데이터직무별(1),전체,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 판매 및 제공 서비스업,전체,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 판매 및 제공 서비스업,전체,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 판매 및 제공 서비스업,전체,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 판매 및 제공 서비스업,전체,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 판매 및 제공 서비스업
데이터직무별(1),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명)
전체,1547,9472,343,2104,752,4583,452,2785,3936,8484,1189,2296,1506,3772,1241,2416,5955,12114,1619,3379,2411,3395,1924,5340,7731,16984,2067,4615,3104,5239,2559,7130,7467,17418,2524,5302,2738,6207,2205,5909
데이터 아키텍트,107,715,41,242,53,353,13,120,29,86,14,45,7,22,8,19,102,327,54,150,33,68,16,108,140,446,73,210,43,77,24,159,127,433,82,163,25,147,21,123
데이터 개발자,522,2968,120,616,267,1492,135,860,2619,4870,911,1808,925,1663,783,1399,3524,5775,985,1716,1468,1706,1071,2353,4201,8035,1197,2294,1746,2772,1258,2969,4062,7772,1502,2647,1709,3784,851,1341
데이터 엔지니어,143,969,32,217,96,625,15,127,429,785,132,219,211,441,86,124,775,1624,197,539,398,557,180,528,1021,2131,274,685,487,771,259,675,913,1955,384,915,367,605,161,434
데이터 분석가,273,1559,60,380,107,674,106,505,309,1145,67,119,153,753,89,274,384,1281,104,301,145,374,134,605,596,1744,123,381,237,561,236,802,639,1874,159,486,243,542,238,847
데이터베이스 관리자,160,1003,18,136,88,529,54,338,107,184,17,19,15,31,75,134,252,470,53,95,21,31,178,344,392,825,76,184,75,169,241,472,417,1036,91,160,84,219,242,656
데이터 과학자,45,318,21,148,20,143,4,27,148,836,4,9,110,710,33,117,223,1106,68,234,72,295,83,577,483,1738,111,425,196,435,177,878,439,1735,120,457,121,444,198,834
데이터 컨설턴트,144,956,28,208,69,433,47,315,73,165,10,23,17,39,46,103,388,844,122,230,149,200,117,414,474,1062,146,287,180,224,148,551,324,1170,86,225,77,230,162,715
데이터 기획자,153,984,23,157,52,334,78,493,223,413,36,55,67,112,120,246,307,687,36,115,125,162,146,410,424,1004,67,149,141,230,216,625,546,1445,100,250,113,236,334,959
